device_id,household_id,device_type,model,firmware_version,installed_at
1,338,gate,GDO-200,1.1.0,2025-11-28
2,86,garage_door,GDO-200,2.0.0,2025-11-28
3,599,gate,GDO-200,1.1.0,2025-11-28
4,920,garage_door,GDO-100,1.1.0,2025-11-28
5,783,garage_door,GATE-10,2.0.0,2025-11-28
6,823,gate,GDO-100,1.0.0,2025-11-28
7,278,gate,GDO-200,1.1.0,2025-11-28
8,158,gate,GDO-100,1.1.0,2025-11-28
9,486,gate,GDO-100,2.0.0,2025-11-28
10,813,garage_door,GDO-100,2.0.0,2025-11-28
11,23,gate,GDO-200,1.1.0,2025-11-28
12,905,garage_door,GATE-10,2.0.0,2025-11-28
13,180,gate,GDO-100,1.0.0,2025-11-28
14,826,gate,GDO-100,1.0.0,2025-11-28
15,252,gate,GDO-200,1.1.0,2025-11-28
16,39,garage_door,GDO-200,2.0.0,2025-11-28
17,36,gate,GDO-200,2.0.0,2025-11-28
18,65,garage_door,GDO-200,1.1.0,2025-11-28
19,950,garage_door,GDO-100,1.0.0,2025-11-28
20,564,garage_door,GDO-100,1.0.0,2025-11-28
21,390,garage_door,GDO-100,1.1.0,2025-11-28
22,986,garage_door,GDO-100,1.1.0,2025-11-28
23,526,garage_door,GDO-100,1.0.0,2025-11-28
24,76,garage_door,GDO-200,1.0.0,2025-11-28
25,812,garage_door,GDO-100,1.0.0,2025-11-28
26,575,garage_door,GATE-10,1.1.0,2025-11-28
27,87,gate,GDO-200,2.0.0,2025-11-28
28,178,garage_door,GATE-10,1.1.0,2025-11-28
29,713,garage_door,GATE-10,1.0.0,2025-11-28
30,776,gate,GATE-10,1.1.0,2025-11-28
31,661,gate,GATE-10,1.0.0,2025-11-28
32,685,garage_door,GDO-100,2.0.0,2025-11-28
33,563,garage_door,GDO-200,1.0.0,2025-11-28
34,364,garage_door,GATE-10,2.0.0,2025-11-28
35,85,garage_door,GDO-200,2.0.0,2025-11-28
36,177,garage_door,GATE-10,1.1.0,2025-11-28
37,31,garage_door,GDO-100,1.0.0,2025-11-28
38,963,garage_door,GATE-10,1.1.0,2025-11-28
39,578,gate,GATE-10,2.0.0,2025-11-28
40,779,gate,GDO-100,1.1.0,2025-11-28
41,864,garage_door,GATE-10,2.0.0,2025-11-28
42,262,gate,GDO-200,1.0.0,2025-11-28
43,640,gate,GATE-10,1.1.0,2025-11-28
44,890,garage_door,GDO-100,2.0.0,2025-11-28
45,920,garage_door,GATE-10,1.1.0,2025-11-28
46,177,garage_door,GDO-200,2.0.0,2025-11-28
47,132,gate,GATE-10,2.0.0,2025-11-28
48,834,gate,GATE-10,1.0.0,2025-11-28
49,909,gate,GDO-100,1.0.0,2025-11-28
50,680,gate,GDO-200,1.0.0,2025-11-28
51,989,gate,GDO-100,1.0.0,2025-11-28
52,120,garage_door,GATE-10,1.0.0,2025-11-28
53,509,garage_door,GDO-200,1.0.0,2025-11-28
54,496,garage_door,GDO-200,2.0.0,2025-11-28
55,672,gate,GDO-200,2.0.0,2025-11-28
56,944,gate,GATE-10,2.0.0,2025-11-28
57,411,gate,GDO-100,2.0.0,2025-11-28
58,308,gate,GATE-10,1.1.0,2025-11-28
59,494,gate,GDO-200,1.0.0,2025-11-28
60,417,garage_door,GDO-100,1.0.0,2025-11-28
61,936,garage_door,GDO-200,2.0.0,2025-11-28
62,83,gate,GATE-10,1.1.0,2025-11-28
63,326,garage_door,GDO-100,1.0.0,2025-11-28
64,626,garage_door,GATE-10,1.1.0,2025-11-28
65,375,garage_door,GDO-200,1.0.0,2025-11-28
66,784,gate,GATE-10,1.0.0,2025-11-28
67,200,garage_door,GDO-100,1.0.0,2025-11-28
68,388,gate,GATE-10,2.0.0,2025-11-28
69,761,gate,GDO-100,1.1.0,2025-11-28
70,397,gate,GDO-100,2.0.0,2025-11-28
71,914,gate,GATE-10,1.0.0,2025-11-28
72,384,gate,GDO-100,2.0.0,2025-11-28
73,583,garage_door,GATE-10,2.0.0,2025-11-28
74,599,garage_door,GATE-10,1.1.0,2025-11-28
75,454,garage_door,GDO-100,2.0.0,2025-11-28
76,813,garage_door,GDO-100,2.0.0,2025-11-28
77,889,gate,GDO-200,1.0.0,2025-11-28
78,293,garage_door,GATE-10,1.1.0,2025-11-28
79,266,gate,GATE-10,1.1.0,2025-11-28
80,603,gate,GDO-100,1.0.0,2025-11-28
81,291,garage_door,GDO-200,2.0.0,2025-11-28
82,20,garage_door,GDO-100,1.1.0,2025-11-28
83,222,gate,GATE-10,1.1.0,2025-11-28
84,59,gate,GDO-100,1.1.0,2025-11-28
