household_id,region,timezone
1,US-East,America/Chicago
2,US-East,America/Chicago
3,US-East,America/Chicago
4,US-East,America/Chicago
5,US-Midwest,America/Chicago
6,US-West,America/Chicago
7,US-East,America/Chicago
8,US-Midwest,America/Chicago
9,US-Midwest,America/Chicago
10,US-Midwest,America/Chicago
11,US-Midwest,America/Chicago
12,US-West,America/Chicago
13,US-East,America/Chicago
14,US-East,America/Chicago
15,US-West,America/Chicago
16,US-Midwest,America/Chicago
17,US-East,America/Chicago
18,US-East,America/Chicago
19,US-East,America/Chicago
20,US-East,America/Chicago
21,US-Midwest,America/Chicago
22,US-Midwest,America/Chicago
23,US-Midwest,America/Chicago
24,US-West,America/Chicago
25,US-West,America/Chicago
26,US-Midwest,America/Chicago
27,US-Midwest,America/Chicago
28,US-West,America/Chicago
29,US-East,America/Chicago
30,US-Midwest,America/Chicago
31,US-Midwest,America/Chicago
32,US-West,America/Chicago
33,US-West,America/Chicago
34,US-Midwest,America/Chicago
35,US-Midwest,America/Chicago
36,US-East,America/Chicago
37,US-West,America/Chicago
38,US-West,America/Chicago
39,US-Midwest,America/Chicago
40,US-East,America/Chicago
41,US-West,America/Chicago
42,US-Midwest,America/Chicago
43,US-Midwest,America/Chicago
44,US-West,America/Chicago
45,US-West,America/Chicago
46,US-West,America/Chicago
47,US-Midwest,America/Chicago
48,US-Midwest,America/Chicago
49,US-Midwest,America/Chicago
50,US-Midwest,America/Chicago
51,US-West,America/Chicago
52,US-West,America/Chicago
53,US-Midwest,America/Chicago
54,US-West,America/Chicago
55,US-East,America/Chicago
56,US-West,America/Chicago
57,US-West,America/Chicago
58,US-East,America/Chicago
59,US-Midwest,America/Chicago
60,US-Midwest,America/Chicago
61,US-East,America/Chicago
62,US-East,America/Chicago
63,US-West,America/Chicago
64,US-West,America/Chicago
65,US-East,America/Chicago
66,US-East,America/Chicago
67,US-East,America/Chicago
68,US-Midwest,America/Chicago
69,US-East,America/Chicago
70,US-West,America/Chicago
71,US-West,America/Chicago
72,US-Midwest,America/Chicago
73,US-East,America/Chicago
74,US-East,America/Chicago
75,US-West,America/Chicago
76,US-Midwest,America/Chicago
77,US-East,America/Chicago
78,US-Midwest,America/Chicago
79,US-Midwest,America/Chicago
80,US-Midwest,America/Chicago
81,US-East,America/Chicago
82,US-Midwest,America/Chicago
83,US-West,America/Chicago
84,US-East,America/Chicago
85,US-Midwest,America/Chicago
86,US-East,America/Chicago
87,US-Midwest,America/Chicago
88,US-Midwest,America/Chicago
89,US-East,America/Chicago
90,US-Midwest,America/Chicago
91,US-West,America/Chicago
92,US-West,America/Chicago
93,US-West,America/Chicago
94,US-Midwest,America/Chicago
95,US-East,America/Chicago
96,US-East,America/Chicago
97,US-West,America/Chicago
98,US-West,America/Chicago
99,US-East,America/Chicago
100,US-East,America/Chicago
101,US-Midwest,America/Chicago
102,US-East,America/Chicago
103,US-West,America/Chicago
104,US-East,America/Chicago
105,US-Midwest,America/Chicago
106,US-Midwest,America/Chicago
107,US-West,America/Chicago
108,US-East,America/Chicago
109,US-Midwest,America/Chicago
110,US-East,America/Chicago
111,US-East,America/Chicago
112,US-Midwest,America/Chicago
113,US-East,America/Chicago
114,US-East,America/Chicago
115,US-Midwest,America/Chicago
116,US-West,America/Chicago
117,US-Midwest,America/Chicago
118,US-Midwest,America/Chicago
119,US-West,America/Chicago
120,US-East,America/Chicago
121,US-East,America/Chicago
122,US-West,America/Chicago
123,US-Midwest,America/Chicago
124,US-West,America/Chicago
125,US-West,America/Chicago
126,US-Midwest,America/Chicago
127,US-West,America/Chicago
128,US-West,America/Chicago
129,US-West,America/Chicago
130,US-West,America/Chicago
131,US-West,America/Chicago
132,US-West,America/Chicago
133,US-West,America/Chicago
134,US-Midwest,America/Chicago
135,US-West,America/Chicago
136,US-Midwest,America/Chicago
137,US-Midwest,America/Chicago
138,US-West,America/Chicago
139,US-East,America/Chicago
140,US-Midwest,America/Chicago
141,US-Midwest,America/Chicago
142,US-East,America/Chicago
143,US-Midwest,America/Chicago
144,US-East,America/Chicago
145,US-West,America/Chicago
146,US-Midwest,America/Chicago
147,US-Midwest,America/Chicago
148,US-Midwest,America/Chicago
149,US-East,America/Chicago
150,US-Midwest,America/Chicago
151,US-Midwest,America/Chicago
152,US-Midwest,America/Chicago
153,US-Midwest,America/Chicago
154,US-West,America/Chicago
155,US-West,America/Chicago
156,US-West,America/Chicago
157,US-West,America/Chicago
158,US-East,America/Chicago
159,US-East,America/Chicago
160,US-Midwest,America/Chicago
161,US-Midwest,America/Chicago
162,US-West,America/Chicago
163,US-East,America/Chicago
164,US-East,America/Chicago
165,US-East,America/Chicago
166,US-East,America/Chicago
167,US-Midwest,America/Chicago
168,US-West,America/Chicago
169,US-West,America/Chicago
170,US-West,America/Chicago
171,US-East,America/Chicago
172,US-Midwest,America/Chicago
173,US-Midwest,America/Chicago
174,US-East,America/Chicago
175,US-Midwest,America/Chicago
176,US-East,America/Chicago
177,US-West,America/Chicago
178,US-East,America/Chicago
179,US-East,America/Chicago
180,US-East,America/Chicago
181,US-West,America/Chicago
182,US-East,America/Chicago
183,US-Midwest,America/Chicago
184,US-West,America/Chicago
185,US-East,America/Chicago
186,US-West,America/Chicago
187,US-Midwest,America/Chicago
188,US-Midwest,America/Chicago
189,US-West,America/Chicago
190,US-East,America/Chicago
191,US-Midwest,America/Chicago
192,US-Midwest,America/Chicago
193,US-Midwest,America/Chicago
194,US-Midwest,America/Chicago
195,US-East,America/Chicago
196,US-Midwest,America/Chicago
197,US-West,America/Chicago
198,US-East,America/Chicago
199,US-Midwest,America/Chicago
200,US-Midwest,America/Chicago
201,US-West,America/Chicago
202,US-West,America/Chicago
203,US-East,America/Chicago
204,US-Midwest,America/Chicago
205,US-East,America/Chicago
206,US-East,America/Chicago
207,US-West,America/Chicago
208,US-Midwest,America/Chicago
209,US-East,America/Chicago
210,US-Midwest,America/Chicago
211,US-West,America/Chicago
212,US-West,America/Chicago
213,US-Midwest,America/Chicago
214,US-East,America/Chicago
215,US-West,America/Chicago
216,US-West,America/Chicago
217,US-Midwest,America/Chicago
218,US-West,America/Chicago
219,US-Midwest,America/Chicago
220,US-Midwest,America/Chicago
221,US-West,America/Chicago
222,US-East,America/Chicago
223,US-East,America/Chicago
224,US-East,America/Chicago
225,US-West,America/Chicago
226,US-Midwest,America/Chicago
